SampleCode,SampleType,AVG_Norm,contIndex
587521,Stomach,224.742501,0.01899
639160,Stomach,291.2919003,0.01783
587020,Stomach,427.5428081,0.01851
587006,Stomach,576.0529835,0.01661
587021,Stomach,1019.333018,0.01937
587022,Stomach,229.2208765,0.02329
587023,Stomach,285.4373926,0.02593
587017,Stomach,289.9131398,0.02993
587522,Stomach,227.308666,0.02013
587024,Stomach,696.1504285,0.02056
587007,Stomach,300.8847713,0.02233
587009,Stomach,176.3445168,0.01876
636091,Stomach,242.0126321,0.01811
636092,Stomach,696.3477975,0.02582
587008,Stomach,492.1914139,0.0194
587031,Stomach,303.0147828,0.02719
636146,Stomach,550.4279124,0.02902
636094,Stomach,287.1297444,0.02752
636095,Stomach,449.1653466,0.0291
636147,Stomach,152.892919,0.02935
636099,UrinaryBladder,174.0621602,0.02631
636796,UrinaryBladder,233.6394439,0.01867
636872,UrinaryBladder,224.3200417,0.02285
636055,UrinaryBladder,282.1992042,0.03619
636150,UrinaryBladder,204.8694982,0.02994
636151,UrinaryBladder,282.2789122,0.02165
636746,Uterus,291.1424139,0.02818
636108,Uterus,961.9727603,0.02074
636744,Uterus,355.0328793,0.03073
636755,Uterus,460.9477436,0.02411
